Movie,StoryLine
"Halloween Ends
2022
R
1h 51m","Four years after the events of Halloween Kills, Laurie is living with her granddaughter Allyson and is finishing writing her memoir. Michael Myers hasn't been seen since. Laurie, after allowing the specter of Michael to determine and drive her reality for decades, has decided to liberate herself from fear and rage and embrace life. But when a young man, Corey Cunningham, is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can't control, once and for all."
"Pearl
2022
R
1h 43m","Trapped on her family's isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she's seen in the movies, Pearl finds her ambitions, temptations, and repressions all colliding in this origin story of X's iconic villain."
"The Sandman
TV Series
2022–
TV-MA
45m","A wizard attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. Fearful for his safety, the wizard kept him imprisoned in a glass bottle for decades. After his escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power. —Neil Gaiman's Official Site"
"Violent Night
2022
R
1h 41m","A team of elite mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage. But the team isn't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint. —Justin Kroll"
"Nope
2022
R
2h 10m","After random objects falling from the sky result in the death of their father, ranch-owning siblings OJ and Emerald Haywood attempt to capture video evidence of an unidentified flying object with the help of tech salesman Angel Torres and documentarian Antlers Holst. —Universal Pictures"
"Supernatural
TV Series
2005–2020
TV-14
44m","John Winchester raised his two sons Sam and Dean to hunt and kill all things that go ""bump in the night"" after his wife Mary was murdered by an evil supernatural being when the boys were little. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently-missing father; when they finally do he reveals he knows what demon killed their mother and has found a way to track and kill it. Meanwhile, Sam develops frightening abilities such as seeing visions of people dying before it actually happens. These visions are somehow connected to the demon that murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with that very same demon, the brothers determine to finish his crusade. But disturbing revelations about Sam's part in the demon's apocalyptic plan are presented when John's dying last words to Dean are revealed. —Rachel B."
"Hellraiser
1987
R
1h 34m","When Kirsty's father, Larry, and stepmother, Julia, move into Larry's childhood home, Kirsty and her boyfriend take a room nearby. Unfortunately for all involved, Larry's house is already occupied: before the family's arrival, Larry's disreputable brother, Frank, used a supernatural puzzle box to summon a gang of other-dimensional demon sadists. Now, Frank requires a series of blood sacrifices to escape the clutches of Pinhead and the cenobites. —mrosesteed"
"1899
TV Series
2022–
1h","1899. A migrant steamship heads west to leave the old continent. The passengers, a mixed bag of European origins, united by their hopes and dreams for the new century and their future abroad. But their journey takes an unexpected turn when they discover another migrant ship adrift on open sea. What they will find on board, will turn their passage to the promised land into a horrifying nightmare. —Netflix"
"Bones and All
2022
R
2h 10m","Maren Yearly is a young woman who wants the same things we all do. She wants to be someone people admire and respect. She wants to be loved. But her secret, shameful needs have forced her into exile. She hates herself for the bad thing she does, for what it's done to her family and her sense of identity; for how it dictates her place in the world and how people see her--how they judge her. She didn't choose to be this way."
"Terrifier 2
2022
Not Rated
2h 18m","After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night."
"Chucky
TV Series
2021–
TV-MA
42m","In this TV series adaptation, titled ""Chucky,"" a vintage Chucky doll turns up at a suburban yard sale, and an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets. Meanwhile, the arrival of enemies and allies from Chucky's past threatens to expose the truth behind the killings, as well as the demon doll's untold origins as a seemingly ordinary child who somehow became this notorious monster. —Brick211"
"The Black Phone
2021
R
1h 43m","Finney Blake is a shy but clever 13-year-old boy who is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of no use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer's previous victims. And they are dead-set on making sure that what happened to them doesn't happen to Finney. —thebucketrider"
"Bodies Bodies Bodies
2022
R
1h 34m","Nervous about meeting the smug, wealthy friends of her rehabilitated girlfriend Sophie, timid newcomer Bee arrives late to a booze-addled, drug-fuelled hurricane party at bored David's Georgian grey-stone manor house. As the storm rages outside, the party gets started, and the group of spoiled zoomers gathers around the host in the family mansion's luxurious drawing room to play a compelling, find-the-killer murder mystery game with the lights off. But it's all fun and games until someone loses an eye. And when one of the players ends up dead, mass hysteria takes over, and the petty, narcissistic backstabbers start to turn on each other. Now, cut off from the outside world, their lives depend on figuring out who's behind the frantic outburst of senseless, bloody violence. However, as bitter rivalries flare up and old wounds reopen, how can David's self-absorbed guests survive the night? —Nick Riganas"
"The Last of Us
TV Series
2023–","20 years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal heartbreaking journey as they both must traverse the U.S. and depend on each other for survival."
"Dahmer
2002
R
1h 41m","Before his arrest and conviction for serial murders, chocolate factory worker Jeffrey Dahmer hunts Milwaukee, Wisconsin, for young attractive males to turn into unconscious (eventually dead) human sex toys, current acts which often prompt memories of earlier killings and of dealings with his suspicious but unaware father. —statmanjeff"
"My Friend Dahmer
2017
R
1h 47m",A young Jeffrey Dahmer struggles to belong in high school.
"Halloween
1978
R
1h 31m","The year is 1963, the night: Halloween. Police are called to 43 Lampkin Ln. only to discover that 15 year old Judith Myers has been stabbed to death, by her 6 year-old brother, Michael. After being institutionalized for 15 years, Myers breaks out on the night before Halloween. No one knows, nor wants to find out, what will happen on October 31st 1978 besides Myers' psychiatrist, Dr. Loomis. He knows Michael is coming back to Haddonfield, but by the time the town realizes it, it'll be too late for many people. —Massive Fan"
"Prey
2022
R
1h 39m","Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
"My Best Friend's Exorcism
2022
R
1h 37m","The year is 1988. High school sophomores Abby and Gretchen have been best friends since fourth grade. But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act...different. She's moody. She's irritable. And bizarre incidents keep happening whenever she's nearby. Abby's investigation leads her to some startling discoveries-and by the time their story reaches its terrifying conclusion, the fate of Abby and Gretchen will be determined by a single question: Is their friendship powerful enough to beat the devil?"
"In the Dark
TV Series
2019–2022
TV-14
42m",A blind young woman tries to solve her friend's murder.
"The Invitation
2022
PG-13
1h 45m","A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot."
"What We Do in the Shadows
TV Series
2019–
TV-MA
30m","A look into the daily (or rather, nightly) lives of four vampires, who've lived together for over 100 years, on Staten Island."
"Interview with the Vampire: The Vampire Chronicles
1994
R
2h 3m","Against the backdrop of a gloomy San Francisco, the nearly two-century-old vampire, Louis de Pointe du Lac, recounts the unbelievable story of his eternal transformation and a life worse than death to the sceptic reporter, Daniel Molloy. Spanning two hundred years of cruel betrayals, extreme solitude, and unquenched thirst, Louis' grimly fascinating tale pivots around his perpetually regrettable decision to embrace the dictatorship of blood, and, above all, his maker: the seductive blonde aristocrat of death, Lestat de Lioncourt. Is Louis' mystical epic of bloodshed genuine? Is this, indeed, an interview with a vampire? —Nick Riganas"
"Midsommar
2019
R
2h 28m","Dani (Florence Pugh) and Christian (Jack Reynor) are a young American couple with a relationship on the brink of falling apart. But after a family tragedy keeps them together, Christian invites a grieving Dani to join him and his friends on a trip to a once-in-a-lifetime midsummer festival in a remote Swedish village. What begins as a carefree summer holiday in the North European land of eternal sunlight takes a sinister turn when the insular villagers invite their guests to partake in festivities that render the pastoral paradise increasingly unnerving and viscerally disturbing. —A24 Releasing"
"Speak No Evil
2022
Not Rated
1h 37m",A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
"American Psycho
2000
R
1h 42m","It's the late 1980s. Twenty-seven year old Wall Streeter Patrick Bateman travels among a closed network of the proverbial beautiful people, that closed network in only they able to allow others like themselves in in a feeling of superiority. Patrick has a routinized morning regimen to maintain his appearance of attractiveness and fitness. He, like those in his network, are vain, narcissistic, egomaniacal and competitive, always having to one up everyone else in that presentation of oneself, but he, unlike the others, realizes that, for himself, all of these are masks to hide what is truly underneath, someone/something inhuman in nature. In other words, he is comprised of a shell resembling a human that contains only greed and disgust, greed in wanting what others may have, and disgust for those who do not meet his expectations and for himself in not being the first or the best. That disgust ends up manifesting itself in wanting to rid the world of those people, he not seeing them as people but only of those characteristics he wants to rid."
"Devil in Ohio
TV Mini Series
2022
TV-MA
5h 56m","When 15-year-old Jules Mathis comes home from school to find a strange girl sitting in her living room, her psychiatrist mother reveals that Mae is one of her patients at the hospital and will be staying with their family for a few days. But soon Mae is wearing Jules' clothes, sleeping in her bedroom, edging her out of her position on the school paper and flirting with Jules' crush. And Mae has no intention of leaving."
"Attack on Titan
Original title: Shingeki no Kyojin
TV Series
2013–2023
TV-MA
24m","Humans are nearly exterminated by giant creatures called Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a land protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present, and mankind has not seen a titan in over 100 years. One day, 10 year old Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind."
"Scream
2022
R
1h 54m","Like the original movie 25 years ago, a cute teenage girl is at home alone when the phone rings. A man wants to play a game with her. With the threat of killing her best friend, Tara's forced to play along. She barely survives the ghost face masked intruder's stabbing. Her 5 year older sister, Sam(antha), who left home at 18 due to mental problems, Sam's boyfriend and Tara's high school friends visit her at the hospital. Later on in a bar, a guy provokes the friends and is later attacked outside in the parking lot by Ghostface. Sam receives a call from him at the hospital and then he unsuccessfully attacks her. She later reveals family secrets to her sister. Sam contacts one of the original victims, Dewey, for help. He warns two other original victims, Sidney Prescott and Gale Weathers, about Ghostface being back. Who is Ghostface? How many more must die? —Scott Filtenborg"
"American Horror Stories
TV Series
2021–
TV-MA
45m","An anthology series of stand-alone episodes delving into horror myths, legends and lore."
"Beast
2022
R
1h 33m",A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.
"Orphan: First Kill
2022
R
1h 39m","Esther's terrifying saga continues in this thrilling prequel to the original and shocking horror hit, Orphan. After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family. Yet, an unexpected twist arises that pits her against a mother who will protect her family from the murderous ""child"" at any cost."
"Trick 'r Treat
2007
R
1h 22m","Five interwoven stories that occur on the same block, on the same night. A couple finds what happens when they blow a jack o' lantern out before midnight, a high school principal has a secret life as a serial killer, a college virgin might have met the right guy for her, a group of mean teens play a prank that they take too far, and a hermit is visited by a special trick or treater. —Harrypotterfan639"
"The Watcher
TV Mini Series
2022
TV-MA","A married couple moving into their dream home is being threatened by terrifying letters from a stalker, signed - ""The Watcher."""
"Watcher
2022
R
1h 31m","A young American woman moves with her husband to Bucharest, and begins to suspect that a stranger who watches her from the apartment building across the street may be a local serial killer decapitating women."
"The Vampire Diaries
TV Series
2009–2017
TV-14
43m","After centuries of quarreling, Stefan and Damon Salvatore return to their original town of Mystic Fall, Virginia. Stefan, the selfless, brave, guilt-ridden brother, meets a high school girl named Elena Gilbert whom he instantly falls in love with, while Damon, the gorgeous, dangerous and selfish vampire, is after his brother's girl to pay him back for making him turn into a vampire in 1864."
"House of the Dragon
TV Series
2022–
TV-MA","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
"Blonde
2022
NC-17
2h 47m","From director Andrew Dominik, and based on the bestselling novel by Joyce Carol Oates, 'Blonde' boldly reimagines the life of one of Hollywood's most enduring icons, Marilyn Monroe. From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, 'Blonde' blurs the lines of fact and fiction to explore the widening split between her public and private selves. —Netflix"
"The Super Mario Bros. Movie
2023","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game."
"Bros
2022
R
1h 55m",Two men with commitment problems attempt a relationship.
"The Empress
TV Series
2022–
TV-MA","The 6 episodes will be shot in . - and will focus on the first months after Sisi's arrival at the court. It is the great love story between Elisabeth and Franz that is the focus of the narrative. Elisabeth is told as a young woman ahead of her time, rebelling against the rigid rules of the 19th century and the court. She meets Franz, a multi-layered ruler with fractures who played a major role in shaping modern European history. Against the backdrop of jealousy, intrigue and power struggles behind the scenes of the Habsburg court and the emerging question of freedom of the people, the audience is taken into a glittering illusory world in which young Sisi must fight for her place at court as well as for the right not only to be the figurehead of an ailing empire. —Netflix"
"Thor: Love and Thunder
2022
PG-13
1h 58m","Thor's retirement is interrupted by a galactic killer known as Gorr the God Butcher, who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie, Korg and ex-girlfriend Jane Foster, who - to Thor's surprise - inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late."
"Grey's Anatomy
TV Series
2005–
TV-14
41m","A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital."
"Entergalactic
2022
TV-MA
1h 33m","Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
"Ticket to Paradise
2022
PG-13
1h 44m","David and Georgia, two divorced parents who can't stand each other, head to Bali after their daughter, Lily, announces her plans to marry a local islander she just met while on holiday. They decide to put aside their differences and work together to stop the wedding, believing that doing so will keep Lily from making a dreadful mistake similar to their own. —J. Brown"
"Bones and All
2022
R
2h 10m", 
"American Gigolo
TV Series
2022–
TV-MA
55m","A present-day reimagining of the iconic film. Jon Bernthal will play Julian Kaye, who is introduced 18 years after he's been arrested for murder and struggling to find his footing in the Los Angeles sex industry, while seeking the truth about the setup that sent him to prison all those years ago and also hoping to reconnect with Michelle (Gretchen Mol), his one true love. —SHOWTIME"
"The Big Bang Theory
TV Series
2007–2019
TV-PG
22m","Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend. —Huggo"
"Friends
TV Series
1994–2004
TV-14
22m","Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six twenty-somethings living in New York City. Over the course of 10 years and seasons, these friends go through life lessons, family, love, drama, friendship, and comedy."
"Heartbreak High
TV Series
2022–
TV-MA
50m","A fresh look at Hartley High over 20 years on. With her new friends - outsiders Quinni and Darren - Amerie must repair her reputation, while navigating love, sex, and heartbreak."
"Modern Family
TV Series
2009–2020
TV-PG
22m","Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family. —Jwelch5742"
"Ramy
TV Series
2019–
TV-MA
30m","Ramy, the son of Egyptian immigrants, is on a spiritually-conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching."
"Bones
TV Series
2005–2017
TV-14
40m","Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming Former Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out. —h_berry"
"Vikings
TV Series
2013–2020
TV-MA
44m","The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors. —History Channel"
"After Ever Happy
2022
R
1h 59m","The relationship of Tessa Young (Josephine Langford) and Hardin Scott (Hero Fiennes-Tiffin) has gone through many difficulties that, on the other hand, have managed to strengthen their union and their love. When the truth about their families has come out, they have both discovered that they are not as different as they thought. Tessa is no longer that sweet, good girl who made it to college, and Hardin is no longer the cruel boy she fell in love with. She is the only person capable of understanding, understanding and calming Hardin, but the secret he hides is so great that it causes her to withdraw from absolutely everything. Even her soulmate."
"Three Thousand Years of Longing
2022
R
1h 48m","Dr Alithea Binnie (Tilda Swinton) is an academic - content with life and a creature of reason. While in Istanbul attending a conference, she happens to encounter a Djinn (Idris Elba) who offers her three wishes in exchange for his freedom. This presents two problems. First, she doubts that he is real and second, because she is a scholar of story and mythology, she knows all the cautionary tales of wishes gone wrong. The Djinn pleads his case by telling her fantastical stories of his past. Eventually she is beguiled and makes a wish that surprises them both."
"You
TV Series
2018–
TV-MA
45m","Based on Caroline Kepnes' best-selling novel of the same name, YOU is a 21st century love story that asks, ""What would you do for love?"" When a brilliant bookstore manager crosses paths with an aspiring writer, his answer becomes clear: anything. Using the internet and social media as his tools to gather the most intimate of details and get close to her, a charming and awkward crush quickly becomes obsession as he quietly and strategically removes every obstacle - and person - in his way. —ahmetkozan"
"Outlander
TV Series
2014–
TV-MA
1h", 
"Buffy the Vampire Slayer
TV Series
1997–2003
TV-14
44m","""In every generation there is a chosen one... she alone will stand against the vampires, the demons and the forces of darkness. She is the slayer."" Buffy Summers knows this tale by heart, and no matter how hard she tries to be just a ""normal girl"", she can not escape from her destiny... Thankfully, she is not alone in her quest to save the world, as she has the help of her friends, the hilarious (and surprisingly quite effective) evil-fighting team called ""The Scooby Gang"". Together, Buffy & co. will slay their demons, survive one apocalypse after another, attend high school and college... and above all, understand that growing up can truly be Hell sometimes... literally. —m_starling"
"Sita Ramam
2022
2h 43m", 
"How I Met Your Mother
TV Series
2005–2014
TV-14
22m","Ted Mosby sits down with his kids, to tell them the story of how he met their mother. The story is told through memories of his friends Marshall, Lily, Robin, and Barney Stinson. All legendary 9 seasons lead up to the moment of Ted's final encounter with ""the one."" —colucciconnor"
"The Vampire Diaries
TV Series
2009–2017
TV-14
43m","After centuries of quarreling, Stefan and Damon Salvatore return to their original town of Mystic Fall, Virginia. Stefan, the selfless, brave, guilt-ridden brother, meets a high school girl named Elena Gilbert whom he instantly falls in love with, while Damon, the gorgeous, dangerous and selfish vampire, is after his brother's girl to pay him back for making him turn into a vampire in 1864."
"ER
TV Series
1994–2009
TV-14
44m","Michael Crichton has created a medical drama that chronicles life and death in a Chicago hospital emergency room. Each episode tells the tale of another day in the ER, from the exciting to the mundane, and the joyous to the heart-rending. Frenetic pacing, interwoven plot lines, and emotional rollercoastering is used to attempt to accurately depict the stressful environment found there. This show even portrays the plight of medical students in their quest to become physicians. —Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
"Castle
TV Series
2009–2016
TV-14
43m","Richard ""Rick"" Castle is a millionaire playboy who recently killed off his main character when a serial killer starts killing people like he does in his books. He teams up with New York police detective Kate Beckett to solve the case. He finds inspiration in Detective Beckett and starts shadowing her for his next book."
"Licorice Pizza
2021
R
2h 13m","LICORICE PIZZA is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love. —United Artist Releasing"
"Plan A Plan B
2022
TV-14
1h 45m", 
"This Is Us
TV Series
2016–2022
TV-14
45m", 
"The Lost City
2022
PG-13
1h 52m","Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to an ancient city's lost treasure from her latest story. Determined to prove he can be a hero in real life and not just on the pages of her books, Alan sets off to rescue her. —Anonymous"
"Two and a Half Men
TV Series
2003–2015
TV-14
22m", 
"Bridgerton
TV Series
2020–
TV-MA
1h","From Shondaland and creator Chris Van Dusen, the first season of Bridgerton follows Daphne Bridgerton (Pheobe Dynevor), the eldest daughter of the powerful Bridgerton family as she makes her debut onto Regency London's competitive marriage market. Hoping to follow in her parent's footsteps and find a match sparked by true love, Daphne's prospects initially seem to be unrivaled. But as her older brother (Jonathan Bailey) begins to rule out her potential suitors, the high society scandal sheet written by the mysterious Lady Whistledown (Julie Andrews) casts aspersions on Daphne. Enter the highly desirable and rebellious Duke of Hastings (Regé-Jean Page), committed bachelor and the catch of the season for the debutantes' mamas. Despite proclaiming that they want nothing the other has to offer, their attraction is undeniable and sparks fly as they find themselves engaged in an increasing battle of wits while navigating society's expectations for their future."
"New Girl
TV Series
2011–2018
TV-14
22m","Jess, a bubbly, off-beat teacher, who is known to burst into song, catches her boyfriend with another woman. Newly homeless, she moves into a loft with three single guys she's never met before. Nick, a jaded, law-school dropout isn't the best of company. Schmidt is a flashy, eccentric businessman who believes he is Yahweh's gift to women. Winston is a former athlete who doesn't know what to do, but really needs a win. Can this dysfunctional group handle the adorkable new girl? —L. Hamre"
"Sex and the City
TV Series
1998–2004
TV-MA
30m",Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
"Chup
2022
2h 15m","A psychopath killer, targeting film critics. The film is a fast-paced thriller that raises many questions of the ethics of criticism. Can an Artist's fate be decided by the opinions of a few? And on the other hand can art exist and evolve without being critiqued? Artists are artists because of their sensitivity."
"That '70s Show
TV Series
1998–2006
TV-14
22m","Eric Forman is a typical high school student growing up in Wisconsin in 1976 with his family and his friends. Together, they have the same kind of joys and sorrows that just about every teenager has while growing up. This show parodied many of the attitudes, events and fads of the 70s, along with those who grew up at the time. —Jean-Marc Rocher <rocher@fiberbit.net>"
"Laal Singh Chaddha
2022
PG-13
2h 39m",Laal Singh Chaddha a man with low IQ level is travelling in a train and happens to tell his story to his co passenger with background of current events happening in India finding it interesting more fellow passengers join in.He was born during the Indo Pak war where his grandfather was a martyr hence he was named after him having a low IQ level no school wants to admit him but finally a priest of Catholic school does so seeing the fighting spirit in his mother.The school children try to avoid him but he befriends Roopa Dsouza his his classmate and bonds very well with her but Roopa wants to be rich as her drunkard father always beats her mother for money one day leading to her death.After death of her mother Roopa goes to stay with her grandmother who turns out to be maid working in Lal's house and both start to spend more time together and as kid Lal eventually proposes her.Years later Roopa and Lal study together at a college in Delhi and Lal still has same feelings for her.But Roopa's ambition is to got to Mumbai to be an actress an become rich while Lal joins the Indian army.During his term in army Lal meets Bala an both become good friends and plan a business together but Bala passes away in the war.After his army service Lal decides to full fill dream of Bala and starts the business planned with him where he is assisted by Mohdmmad Paji who was once a terrorist and Lal saved his life during war.Lal's life and business is doing well but he still has a place for Roopa whom he hasn't met since years and waits for return.
"Sissy
2022
1h 42m","Cecilia (aka Sissy) is a successful social media influencer living the dream, until she runs into her ex-childhood best friend and is invited away on her bachelorette weekend. Suddenly Sissy finds herself stuck in a remote cabin with her school bully...and a taste for revenge. #triggered. —Arcadia"
"The Little Mermaid
2023","A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince."
"Once Upon a Time
TV Series
2011–2018
TV-PG
1h","For Emma Swan, life has been anything but a happy ending. But when she's reunited with Henry - the son she gave up for adoption ten years ago - on the night of her 28th birthday, everything changes. The now 10-year-old Henry is in desperate need of Emma's help because he believes from reading a book of fairy-tales that she's the daughter of Snow White and Prince Charming - who sent her away from the Enchanted Forest to be protected from a curse that was enacted by the Evil Queen. Emma initially refuses to believe a word of Henry's story but soon finds that his hometown of Storybrooke, Maine is more than it seems. Because it's in Storybrooke that all of the classic characters we know are frozen in time with no memories of their former selves - except for the Evil Queen, who is Storybrooke's mayor and Henry's adoptive mother Regina Mills. Now, as the epic ""Final Battle"" for the future of both worlds approaches, Emma will have to accept her destiny and uncover the mystery behind a place where fairy-tales are to be believed. —ahmetkozan"
"True Blood
TV Series
2008–2014
TV-MA
55m","Set in modern times, vampires roam the Earth and are humans' mortal enemies. However, a substitute has been found for human blood, a substitute that vampires can consume with the same effect as human blood. This is True Blood. Now humans and vampires can co-exist in harmony, and even form relationships. But there will always be rogue elements on both sides ready to exploit the uneasy truce. —grantss"
"Falling for Christmas
2022
1h 33m","In the days leading up to Christmas, a young and newly engaged heiress experiences a skiing accident. After being diagnosed with amnesia, she finds herself in the care of the handsome lodge owner and his daughter."
"Edward Scissorhands
1990
PG-13
1h 45m","In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse. —FilmFanUK"
"Riverdale
TV Series
2017–
TV-14
45m","After the death of one of the rich and popular Blossom twins on the 4th of July, the small town of Riverdale investigates the murder. The series starts in September, the beginning of a new school year, that brings with it new students, relationships, and reveals the mysteries of the past 4th of July. —ahmetkozan"
"Virgin River
TV Series
2019–
TV-14
44m", 
"Call Me by Your Name
2017
R
2h 12m","CALL ME BY YOUR NAME, the new film by Luca Guadagnino, is a sensual and transcendent tale of first love, based on the acclaimed novel by André Aciman. It's the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17-year-old young man, spends his days in his family's 17th-century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael Stuhlbarg), an eminent professor specializing in Greco-Roman culture, and his mother Annella (Amira Casar), a translator, who favor him with the fruits of high culture in a setting that overflows with natural delights. While Elio's sophistication and intellectual gifts suggest he is already a fully-fledged adult, there is much that yet remains innocent and unformed about him, particularly about matters of the heart. One day, Oliver (Armie Hammer), a 24-year-old American college graduate student working on his doctorate, arrives as the annual summer intern tasked with helping Elio's father. Amid the sun-drenched splendor of the setting, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever."
"Titanic
1997
PG-13
3h 14m", 
"Barbie
2023",Plot under wraps
"House of the Dragon
TV Series
2022–
TV-MA","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
"The Lord of the Rings: The Rings of Power
TV Series
2022–
TV-14","This epic drama is set thousands of years before the events of J.R.R. Tolkien’s The Hobbit and The Lord of the Rings, and will take viewers back to an era in which great powers were forged, kingdoms rose to glory and fell to ruin, unlikely heroes were tested, hope hung by the finest of threads, and the greatest villain that ever flowed from Tolkien’s pen threatened to cover all the world in darkness. Beginning in a time of relative peace, the series follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of the elf-capital of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone. —Amazon Studios"
